Kabupaten.kota;ADM2_PCODE;Longitude;Latitude;data_covid;DEA
Pacitan;ID3501;111.1414;-8.1263;32;1
Ponorogo;ID3502;111.4696;-7.8651;74;0.15328
Trenggalek;ID3503;111.6184;-8.1824;39;1
Tulungagung;ID3504;111.9642;-8.0912;69;0.30939
Blitar;ID3505;112.1609;-8.0955;99;0.18066
Kediri;ID3506;112.1907;-7.8232;110;0.11764
Malang;ID3507;112.7152;-8.2422;644;0.08722
Lumajang;ID3508;113.1442;-8.0944;113;0.18735
Jember;ID3509;113.6681;-8.1845;311;0.08574
Banyuwangi;ID3510;114.3691;-8.2191;261;0.09197
Bondowoso;ID3511;113.9061;-7.9674;148;0.21076
Situbondo;ID3512;114.1915;-7.7889;73;0.28102
Probolinggo;ID3513;113.4776;-7.8718;50;0.24233
Pasuruan;ID3514;112.8582;-7.786;198;0.14452
Sidoarjo;ID3515;112.6675;-7.4726;1101;0.10325
Mojokerto;ID3516;112.4351;-7.4699;172;0.22177
Jombang;ID3517;112.2861;-7.5741;191;0.11764
Nganjuk;ID3518;111.9046;-7.5944;149;0.41751
Madiun;ID3519;111.6184;-7.6093;75;0.43673
Magetan;ID3520;111.356;-7.6433;94;0.25198
Ngawi;ID3521;111.3322;-7.461;94;0.21992
Bojonegoro;ID3522;111.7615;-7.3175;96;0.12044
Tuban;ID3523;112.0298;-6.8955;80;0.14883
Lamongan;ID3524;112.3338;-7.1269;159;0.12646
Gresik;ID3525;112.5722;-7.155;447;0.10997
Bangkalan;ID3526;112.9137;-7.0384;72;0.21993
Sampang;ID3527;113.2394;-7.0402;62;0.399
Pamekasan;ID3528;113.5252;-7.1051;19;0.22993
Sumenep;ID3529;113.9061;-6.9254;59;0.18183
Kota Kediri;ID3571;112.0178;-7.848;100;1
Kota Blitar;ID3572;112.1609;-8.0955;20;1
Kota Malang;ID3573;112.6326;-7.9666;608;0.13674
Kota Probolinggo;ID3574;113.2037;-7.7764;64;0.90538
Kota Pasuruan;ID3575;112.8999;-7.6469;60;1
Kota Mojokerto;ID3576;112.4401;-7.4705;43;1
Kota Madiun;ID3577;111.53;-7.6311;104;0.50594
Kota Surabaya;ID3578;112.7521;-7.2575;2430;0.06311
Kota Batu;ID3579;112.5334;-7.8831;157;1
